发展_NN 1934814_CD
部门_NN 1709250_CD
政府_NN 1617499_CD
经济_AD 1396619_CD
服务_NN 1386428_CD
公司_NN 1321922_CD
实现_VV 1062326_CD
市场_NN 1053266_CD
评论_NN 928410_CD
支持_NN 894755_CD
机构_NN 813966_CD
能力_NN 804674_CD
资源_NN 801625_CD
计划_VV 800718_CD
系统_NN 777566_CD
分享_NN 723186_CD
产品_NN 719918_CD
网络_NN 663485_NN
提升_VV 641506_CD
报告_VV 611089_CD
产业_NN 581292_CD
执行_VV 549104_CD
行业_NN 535867_CD
需求_NN 519652_CD
调整_VV 513431_CD
方案_NN 500356_CD
委员_NN 会_VV 499583_CD
集团_NN 494981_CD
利益_NN 494930_CD
主席_NN 478947_CD
经营_NR 477651_CD
统计_VV 474538_CD
时代_NN 459135_CD
力度_NN 458479_CD
收入_VV 454330_CD
生态_NN 454142_CD
购买_VV 444238_CD
机会_NN 441735_CD
近年_NT 来_VV 426768_CD
推出_VV 421029_NN
规范_NN 417118_CD
价值_NN 414827_CD
国务院_NN 401496_CD
有限_JJ 公司_NN 391133_CD
金融_NN 387290_CD
出台_NN 385053_CD
数量_NN 381076_CD
银行_VV 379949_CD
民生_NN 370864_CD
费用_VV 356236_CD
近期_NT 352723_CD
风险_NN 349681_CD
设立_VV 342330_CD
通道_NN 330021_CD
协议_NN 327937_CD
创造_VV 327349_CD
强化_VV 324692_CD
操作_NN 323394_CD
升级_NN 322319_CD
消费_NN 320540_CD
救援_VV 315250_CD
商业_NN 310880_CD
财政_NN 310711_CD
美元_NN 309822_CD
损失_NN 306594_CD
律师_NN 306161_CD
优惠_NN 299489_CD
推荐_NN 294602_CD
突破_AD 293449_CD
年度_NN 284721_CD
治理_NN 284407_CD
注册_NN 279362_CD
标签_NN 274313_CD
批准_VV 272761_CD
开通_VV 270250_CD
上升_NN 268597_CD
渠道_NN 265759_CD
查询_NN 264946_CD
交易_VV 258370_CD
支付_NN 257507_CD
达成_VV 253153_CD
承诺_NN 250046_CD
淘宝_NN 243835_CD
环保_NN 243716_CD
登记_NN 242799_CD
博客_NN 239679_CD
趋势_NN 235572_CD
配置_VV 232905_CD
论坛_NN 230780_CD
违规_NN 219598_CD
金额_NN 217979_CD
调研_VV 214890_CD
机场_NN 213710_CD
低于_VV 213321_CD
商品_NN 211512_CD
贸易_AD 209462_CD
工资_NN 206254_CD
能源_NN 204053_CD
指标_NN 202623_CD
评估_VV 196520_CD
保险_NN 191092_CD
出口_NN 189527_CD
退出_VV 188537_CD
财产_NN 188180_CD
专题_NN 187620_CD
总经_AD 理_VV 186634_CD
环球_NN 186290_CD
合同_AD 185744_CD
研发_VV 182626_CD
财经_NT 181639_CD
上涨_NR 180105_CD
超标_VV 173842_CD
董事_NN 长_VA 173750_CD
考核_VV 168674_CD
补贴_VV 167303_CD
计算_VV 167280_CD
现金_NN 166097_CD
房地产_NN 165034_CD
上市_JJ 164509_NN
资本_NR 164069_CD
贷款_NN 157760_CD
资产_NN 152477_CD
行情_NN 151568_CD
分配_VV 150441_CD
理财_NN 149719_CD
投诉_NN 149228_CD
预期_NN 148653_CD
信号_NN 148613_CD
委托_NN 145542_CD
红包_NN 144047_CD
鉴定_VV 141081_CD
当_P 事人_NN 138850_CD
经理_VV 138005_CD
案例_NN 137595_CD
预算_VV 136927_CD
起诉_VV 136753_CD
客服_VV 136711_CD
特权_NN 135674_CD
预测_VV 134893_CD
差距_NN 133647_CD
态势_NN 133384_CD
高层_AD 127007_CD
进口_NN 126374_CD
浮动_NN 126231_CD
前景_NN 125542_CD
微软_NN 125352_CD
总额_NN 124821_CD
披露_VV 124277_CD
座谈会_NN 123984_CD
利润_VV 123856_CD
竞价_NN 122529_CD
支出_VV 122388_CD
竞争力_NN 121982_CD
融资_NN 121957_CD
繁荣_NR 121844_CD
审核_NN 119170_CD
股份_NN 118020_CD
收取_VV 117667_CD
初始_AD 117023_CD
指数_NN 117017_CD
效应_NN 116080_CD
福利_NN 116074_CD
补偿_NN 114081_CD
潜力_NN 113012_CD
短期_NN 110737_CD
季度_NN 110195_CD
品种_NN 108775_CD
级别_AD 106729_CD
幅度_NN 106332_CD
出售_VV 104773_CD
黄金_NN 104145_CD
产权_NN 103763_CD
期限_NN 102498_CD
收益_VV 102220_CD
营销_NN 102134_CD
商务_NN 101967_CD
财富_NN 99593_CD
顾客_NN 99546_CD
发行_VV 99502_CD
财务_NN 98448_CD
账户_NN 98305_CD
投资者_NN 98139_CD
受损_NN 97533_CD
缴纳_VV 96884_CD
税收_VV 96632_CD
主管_NN 部门_NN 95437_CD
货币_NN 94665_CD
研究员_NN 93228_CD
基金会_NN 92440_CD
百分点_NN 92342_CD
物业_NN 91610_CD
特区_NN 91388_CD
等级_JJ 90805_NN
日期_NN 90222_CD
企业家_NN 85988_CD
债务_NN 85458_CD
比重_AD 84379_CD
崛起_VV 84150_CD
代理_NN 83939_CD
调控_VV 82856_CD
协同_AD 82491_CD
业绩_NN 81889_CD
本_DT 土_NN 81012_CD
农产品_NN 80792_NN
数额_NN 80330_CD
收购_VV 80160_CD
租赁_NN 80068_CD
储备_NN 79268_CD
查获_VV 78697_CD
组合_NN 78688_CD
周期_NN 77769_CD
着手_NR 77456_CD
通讯_NN 77199_CD
证券_NN 76141_CD
恶化_NN 75850_CD
友谊_NN 75401_CD
责任人_NN 75331_CD
正规_NT 75018_CD
国际化_NN 74559_CD
流通_NN 74519_CD
奖金_NN 74326_CD
供给_VV 74310_CD
财政部_NN 74243_CD
信用_VV 74087_CD
备案_NN 73378_CD
捐款_NN 72000_CD
挂牌_NN 70411_CD
筹备_NN 70317_CD
下滑_NN 70070_CD
上月_NT 69522_CD
开发区_NN 68969_CD
赚钱_NN 67360_CD
个体_NN 66861_CD
市场化_NN 66692_CD
板块_NN 66615_CD
成交_VV 66600_CD
中介_NN 66552_CD
下跌_CS 66515_CD
涨幅_NN 66023_CD
太平_AD 洋_VA 65735_CD
受贿_NN 65518_CD
初期_NN 64890_CD
中小_JJ 企业_NN 62836_CD
达标_VV 62409_CD
产量_NN 62095_CD
订单_VV 61502_CD
均衡_NR 61422_CD
存款_NN 61000_CD
经营者_NN 60137_CD
波动_NN 59311_CD
招商_NN 58645_CD
华侨_NN 58607_CD
审计_VV 57923_CD
电子_NN 商务_NN 57188_CD
股票_NN 57149_CD
份额_NN 56823_CD
遗产_NN 56020_CD
结算_VV 55679_CD
隔离_VV 55292_CD
业界_NN 54352_CD
国企_NN 54248_CD
促销_VV 54072_CD
签字_NN 53592_CD
垄断_VV 53492_CD
利率_NN 53477_CD
社保_NN 53175_CD
招标_NN 52855_CD
额度_NN 52404_CD
月薪_NN 52357_CD
租金_NN 52160_CD
合并_VV 52121_CD
定价_NN 52095_CD
低价_AD 51915_CD
进出口_NN 51867_CD
发改委_VV 51662_CD
反弹_VV 51645_CD
欧元_NN 51614_CD
控股_NN 51444_CD
转让_VV 51273_CD
担保_VV 51072_CD
外资_NN 51027_CD
伪造_NN 50938_CD
指引_NN 50911_CD
瓶颈_NN 50829_CD
定点_NN 50653_CD
开办_VV 50588_CD
股东_NN 50247_CD
上游_NR 49875_CD
法人_NN 49467_CD
专利_NN 48971_CD
收回_VV 48925_CD
央行_VV 48921_CD
形态_NN 48636_CD
筹集_VV 48582_CD
转换_NN 48300_CD
信贷_NN 48283_CD
银行卡_NN 48277_CD
被盗_AD 48115_CD
网点_NN 48076_CD
走势_NN 47762_CD
攀升_AD 47323_CD
仓库_NN 46589_CD
工商局_NN 46251_CD
厂房_NN 46103_CD
结构性_NN 45943_CD
缴费_NN 45688_CD
到期_VV 44970_CD
混合_VV 44652_CD
招商_NN 引资_NN 44644_CD
步骤_NN 43778_CD
区间_NN 43612_CD
参_NN 与_P 者_NN 43237_CD
商会_NN 43102_CD
缺口_NN 42908_CD
国际_NN 上_LC 42843_CD
产值_NN 42791_CD
宣告_NN 42487_CD
下调_CS 42398_CD
款项_NN 42305_CD
利息_NN 42302_CD
国民_NN 经济_NN 42025_CD
获利_NN 41787_CD
安全性_NN 41309_CD
亏损_NN 41100_CD
存放_VV 41015_CD
低迷_NR 40781_CD
巨头_NN 40710_CD
库存_NN 40686_CD
吸纳_VV 40606_CD
恐慌_AD 40553_CD
电网_NN 40270_CD
上调_NR 40231_CD
类别_AD 39956_CD
原告_NN 39937_CD
筛选_NN 39771_CD
华商_NN 39629_CD
四_CD 大_VA 38734_CD
亚太_NR 38572_CD
多样化_JJ 38285_NN
合作_VV 社_NN 38076_CD
考量_NN 37447_CD
报酬_NN 37389_CD
增值_NN 37316_CD
归还_VV 37293_CD
流动性_NN 37000_CD
索赔_VV 36942_CD
财力_NN 36705_CD
测量_NN 36689_CD
标注_NN 36587_CD
余额_NN 36288_CD
红利_NN 36173_CD
经_P 销商_VV 36080_CD
赌博_NN 35876_CD
构筑_NN 35520_CD
模型_NN 35416_CD
纳税人_NN 35289_CD
兼职_AD 35102_CD
拨款_NN 35062_CD
扣除_VV 34907_CD
返还_VV 34831_CD
首创_AD 34603_CD
付款_NN 34574_CD
偿还_VV 34550_CD
集会_NN 34354_CD
内需_NN 34334_CD
议案_NN 34258_CD
挪用_VV 34233_CD
惯例_NN 33866_CD
突破口_NN 33771_CD
年会_NN 33686_CD
副主席_NN 33608_CD
密度_NN 33557_CD
均价_AD 33447_CD
闲置_VV 33392_CD
区域性_NN 33169_CD
冻结_VV 33061_CD
数据库_NN 33029_CD
行长_VV 32913_CD
核准_NN 32880_CD
一_CD 季度_NN 32755_CD
楼盘_NN 32718_CD
债券_NN 32695_CD
观测_VV 32649_CD
董事_NN 32637_CD
凭证_VV 32214_CD
拖欠_VV 32167_CD
编号_NN 32129_CD
团购_NN 32005_CD
欺骗_VV 31687_CD
增长率_NN 31624_CD
博弈_NN 31567_CD
利好_VV 31520_CD
泡沫_NN 31382_CD
世博_NN 31335_CD
实战_NN 31122_CD
全国性_JJ 30984_NN
卖出_VV 30936_CD
募集_NN 30698_CD
透明度_NN 30687_CD
汇率_NN 30539_CD
稳健_NN 30480_CD
购房者_NN 30393_CD
信用_VV 卡30305_NN
彩票_NN 30037_CD
薪酬_NN 29991_CD
社会_NN 保险_NN 29946_CD
折扣_NN 29929_CD
英镑_NN 29915_CD
投标_NN 29607_CD
进场_NN 29412_CD
落下_VV 29102_CD
成_VV 交量_NN 28913_CD
日元_NN 28792_CD
交易所_AD 28424_CD
集合_VV 28110_CD
核定_VV 28020_CD
基准_NN 27905_CD
参保_VV 27630_CD
总_CS 收入_VV 27520_CD
破产_VV 27380_CD
稳定性_NN 27169_CD
规章_NN 27150_CD
修正_VV 26799_CD
津贴_NN 26795_CD
飙升_VV 26668_CD
免职_NN 26657_CD
油价_NN 26512_CD
查封_NN 26363_CD
轮胎_NN 26259_CD
开盘_NN 26185_CD
走私_VV 26041_CD
外汇_NN 26022_CD
免除_VV 25840_CD
报价_NN 25794_CD
失业率_NN 25782_CD
打折_NN 25755_CD
转账_NN 25736_CD
崩溃_NN 25695_CD
保险_NN 公司_NN 25683_CD
宏观_AD 调控_VV 25619_CD
代理人_NN 25320_CD
弊端_NN 25291_CD
信誉_NN 25264_CD
升值_NN 25183_CD
黑名_NN 单_AD 25159_CD
有_VE 效期_NN 25134_CD
石化_NN 25046_CD
预留_VV 24510_CD
操纵_NN 24398_CD
长城_NR 24250_CD
股价_NN 24109_CD
华夏_NN 24047_CD
新京报_AD 23999_CD
天价_NN 23875_CD
违约_VV 23854_CD
持续性_NN 23816_CD
环球_NN 时_LC 报_VV 23795_CD
基调_NN 23792_CD
附加_VV 23639_CD
仲裁_NN 23429_CD
珠江_NN 23312_CD
写字楼_NN 23282_CD
董事_NN 会_VV 23269_CD
激增_VV 23221_CD
杠杆_NN 23033_CD
投资人_NN 22882_CD
拨付_VV 22839_CD
分割_NN 22770_CD
跌幅_NN 22669_CD
席位_NN 22541_CD
延期_NN 22535_CD
央企_NN 22450_CD
证监会_NN 22393_CD
兴业_NN 22382_CD
匮乏_VV 21961_CD
震荡_VV 21868_CD
总_JJ 价_NN 21811_CD
买单_VV 21807_CD
增值税_NN 21772_CD
所有_DT 权21649_NN
票据_P 21637_CD
期货_NN 21635_CD
子公司_NN 21631_CD
金融业_NN 21554_CD
汇款_NN 21545_CD
投资额_NN 21541_CD
多媒体_NN 21299_CD
保证_VV 金_AD 21289_CD
价位_NN 20766_CD
知情人_NN 20671_CD
筹资_NN 20509_CD
按_P 计划_VV 20372_CD
集装箱_NN 20140_CD
机电_NN 20086_CD
抛出_VV 20035_CD
产出_VV 19942_CD
贬值_NN 19771_CD
分化_NN 19642_CD
中标_NN 19586_CD
差价_NN 19584_CD
同_DT 级_M 19538_NN
投机_NN 19492_CD
合伙_NT 19459_CD
收盘_NN 19418_CD
抽奖_NN 19408_CD
饱_AD 和_P 19332_CD
阿里_NR 巴巴_NN 19329_CD
解散_VV 19241_CD
获准_VV 18948_CD
经济_VV 危机_NN 18947_CD
下落_VV 18945_CD
停职_NN 18907_CD
赚取_VV 18873_CD
审慎_AD 18749_CD
生产_NN 能力_NN 18622_CD
波音_NN 18537_CD
关税_NN 18505_CD
手续费_AD 18417_CD
充斥_VV 18362_CD
封顶_NN 18288_CD
储蓄_NN 18268_CD
复核_JJ 18216_NN
监护人_NN 18131_CD
暴涨_AD 17882_CD
分红_NN 17834_CD
盘活_NN 17816_CD
理赔_NN 17793_CD
社会_JJ 团体_NN 17771_CD
逆转_VV 17728_CD
华尔街_NN 日报_NR 17719_CD
市值_NN 17693_CD
港元_NN 17665_CD
管理层_NN 17641_CD
停滞_NN 17542_CD
万_CD 达_P 17519_CD
评级_NN 17423_CD
供_AD 不_AD 应求_VV 17422_CD
负债_NN 17374_CD
扣留_VV 17278_CD
大盘_NN 17275_CD
赤字_NN 17182_CD
深层次_JJ 17148_NN
欧元区_NN 17021_CD
薪水_NN 17017_CD
中信_NN 16949_CD
明珠_NT 16902_CD
手势_NN 16841_CD
不_AD 动产_VV 16757_CD
网购_NN 16602_CD
国债_NN 16480_CD
托管_NN 16403_CD
不_AD 定期_VV 16361_CD
清算_NN 16346_CD
主业_NN 16344_CD
中国_NR 银行_VV 16207_CD
远东_JJ 16062_NN
欠款_NN 15988_CD
协议书_NN 15967_CD
偏离_VV 15962_CD
港币_NN 15915_CD
白银_NN 15807_CD
黄海_JJ 15792_NN
年薪_NN 15758_CD
暴利_NR 15641_CD
撤回_VV 15621_CD
经纪人_AD 15500_CD
收益率_NN 15458_CD
房地_NR 产业_NN 15425_CD
宽带_NN 15375_CD
购进_VV 15372_CD
境内外_AD 15333_CD
计量_NN 15273_CD
化验_NN 15255_CD
国际_NN 贸易_NN 15110_CD
废止_VV 15026_CD
圣地_NN 14926_CD
联谊_NN 14843_CD
赌场_NN 14781_CD
透支_NN 14740_CD
发起人_NN 14733_CD
保费_NN 14396_CD
上行_NR 14376_CD
保值_NN 14345_CD
股份_NN 制_VV 14260_CD
中石化_NN 14159_CD
发货_NN 14090_CD
南航_NN 14022_CD
中关_JJ 村13998_NN
交易额_NN 13941_CD
补办_VV 13873_CD
差额_NN 13800_CD
福彩_NN 13694_CD
受惠_NN 13678_CD
中小型_JJ 13671_NN
暴跌_AD 13647_CD
信托_NN 13621_CD
知情者_NN 13441_CD
对_P 外贸_NN 易_AD 13419_CD
会_VV 计师_VV 13391_CD
井喷_NN 13378_CD
本金_AD 13362_CD
中欧_NN 13273_CD
成因_VV 13254_CD
净利_NN 润_VV 13024_CD
精密_AD 12946_CD
通货_NN 膨胀_NN 12930_CD
贴息_NN 12926_CD
万里_NT 12909_CD
交易量_NN 12802_CD
券商_NN 12714_CD
交易日_NN 12689_CD
跨国_NR 公司_NN 12631_CD
银监会_NN 12620_CD
下单_NN 12360_CD
